===========  Loading files ===========
Loading richards.js
===========  Data flow analysis ===========
richards.js:528:7 (node transfers: 1109, worklist size: 10)
richards.js:528:17 (node transfers: 1115, worklist size: 10)
richards.js:587:26 (node transfers: 1116, worklist size: 10)
richards.js:588:3 (node transfers: 1119, worklist size: 10)
richards.js:589:29 (node transfers: 1126, worklist size: 10)
richards.js:595:1 (node transfers: 1127, worklist size: 10)
richards.js:528:7 (node transfers: 1128, worklist size: 10)
richards.js:530:7 (node transfers: 1129, worklist size: 9)
richards.js:530:17 (node transfers: 1135, worklist size: 9)
richards.js:530:7 (node transfers: 1136, worklist size: 9)
richards.js:533:7 (node transfers: 1137, worklist size: 8)
richards.js:534:17 (node transfers: 1142, worklist size: 9)
richards.js:537:11 (node transfers: 1151, worklist size: 9)
richards.js:538:13 (node transfers: 1156, worklist size: 9)
richards.js:542:16 (node transfers: 1187, worklist size: 9)
richards.js:301:29 (node transfers: 1188, worklist size: 9)
richards.js:302:11 (node transfers: 1190, worklist size: 9)
richards.js:303:25 (node transfers: 1202, worklist size: 10)
richards.js:304:3 (node transfers: 1203, worklist size: 10)
richards.js:307:10 (node transfers: 1224, worklist size: 11)
richards.js:405:47 (node transfers: 1225, worklist size: 11)
richards.js:406:7 (node transfers: 1226, worklist size: 11)
richards.js:407:5 (node transfers: 1231, worklist size: 12)
richards.js:408:5 (node transfers: 1236, worklist size: 12)
richards.js:377:45 (node transfers: 1237, worklist size: 12)
richards.js:378:3 (node transfers: 1238, worklist size: 12)
richards.js:379:1 (node transfers: 1244, worklist size: 12)
richards.js:409:9 (node transfers: 1245, worklist size: 12)
richards.js:409:47 (node transfers: 1252, worklist size: 13)
richards.js:411:5 (node transfers: 1253, worklist size: 13)
richards.js:411:18 (node transfers: 1259, worklist size: 13)
richards.js:411:5 (node transfers: 1260, worklist size: 14)
richards.js:413:10 (node transfers: 1261, worklist size: 13)
richards.js:414:1 (node transfers: 1262, worklist size: 12)
richards.js:308:1 (node transfers: 1263, worklist size: 11)
richards.js:308:1 (node transfers: 1264, worklist size: 11)
richards.js:587:26 (node transfers: 1265, worklist size: 10)
richards.js:588:3 (node transfers: 1268, worklist size: 10)
richards.js:589:29 (node transfers: 1275, worklist size: 11)
richards.js:590:20 (node transfers: 1276, worklist size: 11)
richards.js:591:18 (node transfers: 1278, worklist size: 11)
richards.js:592:12 (node transfers: 1285, worklist size: 13)
richards.js:591:18 (node transfers: 1287, worklist size: 13)
richards.js:592:12 (node transfers: 1294, worklist size: 13)
richards.js:591:18 (node transfers: 1296, worklist size: 13)
richards.js:593:3 (node transfers: 1303, worklist size: 12)
richards.js:595:1 (node transfers: 1308, worklist size: 11)
richards.js:411:5 (node transfers: 1309, worklist size: 12)
richards.js:413:10 (node transfers: 1310, worklist size: 12)
